,Name,Address,Tel,Email,Contact Persons,Products
264,AAY KAY INTERNATIONAL,"F-305, SECTOR-63,
NOIDA, UTTAR PRADESH","120-4270936,120-4270937",nittin@aay-kay.com,ASHOK SHARMA,"FASHION ACCESSORIES,JEWELLERY-COSTUME,"
265,AAYAN,"C-16, NIZAMUDDIN WEST
NEW DELHI, DELHI","11-41825656,11-24357991",msaayan@hotmail.com,JAHAN ARA SHAH,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,"
266,AAYS EXIM,"1/1978, MODERN SHAHDARA, EAST RAMNAGAR,
DELHI, DELHI",4049-8766264049,aaysexim@gmail.com,SHUBHAM GUPTA,"DECORATIVE & JEWELLERY BOXES,DECORATIVE ITEMS,DECORATIVE OBJECTS,DECORATIVE OBJECTS,GLASS - DECORATIVE,GLASS BOTTLES,GLASS DECORATIVE,GLASSWARE,GLASSWARE,GLASSWARE,GLOBES,"
267,AAYU IMPEX,"SHOP NO.1, PAVAPURI APTS.,9TH KHETWADI LANE,
MUMBAI, MAHARASHTRA",22-23863461,aayuimpex@gmail.com,DEVENDRA M. SHAH,"BRASSWARE,EMBROIDERY FURNISHING,STONEWARES,"
268,AB CREATIONS,"H NO.347, BLOCK -H, LANDMARK NADDA RES SCHEME, NARAINA VIHAR
NEW DELHI, DELHI",11-45086688,dnssharma@gmail.com,DHARAM NARAYAN SHARMA,"HANDICRAFTS,HANDICRAFTS,"
269,ABALONE INTERNATIONAL PVT. LTD.,"101, FIRST FLOOR, ANUPAM BHAWAN, AZADPUR COMMERCIAL COMPLEX, AZADPUR
DELHI, DELHI",11-45575000,rsiajay@gmail.com,AJAY KUMAR SHARMA,"HANDICRAFTS,MARBLES - GLASS,METALWARE,PAPIER MACHIE,POTTERY,WOODEN GIFTS,HANDICRAFTS,MARBLES - GLASS,METALWARE,PAPIER MACHIE,POTTERY,WOODEN GIFTS,HANDICRAFTS,MARBLES - GLASS,METALWARE,PAPIER MACHIE,POTTERY,WOODEN GIFTS,HANDICRAFTS,MARBLES - GLASS,METALWARE,PAPIER MACHIE,POTTERY,WOODEN GIFTS,HANDICRAFTS,MARBLES - GLASS,METALWARE,PAPIER MACHIE,POTTERY,WOODEN GIFTS,"
270,ABBA INTERNATIONAL,"S-505, GROUND FLOOR, SCHOOL BLOCK, SHAKARPUR,
DELHI, DELHI","11-43026806,11-22483718",abbaint@gmail.com,VIVEK AGGARWAL,"HANDICRAFTS,"
271,ABBASI GOOD CRAFT,"BUILDING NO.17,FIRST FLOOR, JOHRI FARM, NOOR NAGAR EXTN, JAMIA NAGAR,OKHLA
NEW DELHI, DELHI",11-29945412,abbasiexport@gmail.com,MOHD. ZAKIR HUSSAIN,"ALUMINIUM WARES,BRASSWARE,CUSHIONS & COVERS,FRAMES-MIRROR/PICTURE/PHOTO,"
272,ABBS INTERNATIONAL INC,"PLOT NO. 93, SECTOR-25, PART-1 HUDA
PANIPAT [HR], HARYANA","0180-4004844,0180-4004845,0180-4004844,0180-4004844,0180-4004844","suren@abbs.in,accounts@abbs.in,suren.sh38@gma",SURENDER SHARMA,"BATH MATS,BATH RUGS,CUSHION & PILLOW COVERS,CUSHION COVERS,CUSHIONS,HOME FURNISHINGS,RUGS,TERRY TOWELS,TUFTED CARPETS & RUGS,BATH MATS,BATH RUGS,CUSHION & PILLOW COVERS,CUSHION COVERS,CUSHIONS,HOME FURNISHINGS,RUGS,TERRY TOWELS,TUFTED CARPETS & RUGS,BATH MATS,BATH RUGS,CUSHION & PILLOW COVERS,CUSHION COVERS,CUSHIONS,HOME FURNISHINGS,RUGS,TERRY TOWELS,TUFTED CARPETS & RUGS,"
273,ABC CRAFTS,"BABARIYAN, DEWAN KA BAZAR
MORADABAD, UTTAR PRADESH",,abccraftsdoes@gmail.com,MOHD. WASEEM,"GIFT WARE,HANDICRAFTS,"
274,ABC ENTERPRISES,"MANGALPURA, NEAR FAIZ GIRLS COLLEGE, SARAI TARIN
SAMBHAL, UTTAR PRADESH",5923-272713,abcenterprises7@gmail.com,MOHD. ZAREEF AHMAD,"BONE HANDICRAFTS,HORN CRAFTS,METALWARE,RESIN FIGURINES,WOOD CRAFTS,BONE HANDICRAFTS,HORN CRAFTS,METALWARE,RESIN FIGURINES,WOOD CRAFTS,COCONUT-BUTTON"
275,ABC HOME CONCEPTS,"RAJENDER NAGAR, OPP. P. T. C., CIVIL LINES,
MORADABAD, UTTAR PRADESH","591-2480529,591-3293311","abchomeconcepts@rediffmail.com,ashishbrass@re",KANGANA DHAWAN,"HOME FURNISHINGS,"
276,ABC HOMES,"CHAURAHA GALSHAHEED, OLD ICE FACTORY, KATGHAR,
MORADABAD, UTTAR PRADESH","591-2896410,591-2496410","abchomes@live.com,aliabchomes@gmail.com",SHAYAN ALI,"ALUMINIUM WARES,BRASSWARE,COPPERWARE,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,COPPERWARE,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,COPPERWARE,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,COPPERWARE,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,COPPERWARE,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,COPPERWARE,IRON CRAFTS,S.S. SHEET ARTWARES"
277,ABD GARMENTS PVT. LTD.,"17/559, JOSHI ROAD, KAROL BAGH,
NEW DELHI, DELHI",11-28716130,maruti2171@gmail.com,MR. GIRISH CHANDRA GUPTA,"BEADS,HANDICRAFTS,JEWELLERY-COSTUME,"
278,ABDS OVERSEAS,"PRINCE ROAD, NEAR ANSAR SCHOOL,
MORADABAD, UTTAR PRADESH","591-2492897,591-2493686",info@abdsoverseas.com,ABDULLAH SHAH KHAN,"GIFT WARE,HANDICRAFTS,GIFT WARE,HANDICRAFTS,GIFT WARE,HANDICRAFTS,GIFT WARE,HANDICRAFTS,GIFT WARE,HANDICRAFTS,GIFT WARE,HANDICRAFTS,ARTWARES"
279,ABDUL ASHFAQ KHAN,"H.NO.26 DHANNADAS BAGECHIFATEH TIBA MOTI DOONGRI ROAD, DOONGRI ROAD,
JAIPUR, RAJASTHAN",141-2612197,abdul@bhaskarmail.com,MR. ABDUL ASHFAQ KHAN,
280,ABDUL KHALIQ METAL CRAFTS,"C-5,PACCA BAGH, PRINCE ROAD
MORADABAD, UTTAR PRADESH",-2970804,abdulkhaliq.metalcrafts@gmail.com,MOHD. FARAZ ANSARI,"ALUMINIUM ARTWARES,BRASSWARE,IRON CRAFTS,STAINLESS STEEL ARTICLES ,WOODCRAFTS,ALUMINIUM ARTWARES,BRASSWARE,IRON CRAFTS,STAINLESS STEEL ARTICLES ,WOODCRAFTS,"
281,ABDUL WAJID & CO.,"5/30/2, PUKHTA BAGH GALSHAHEED
MORADABAD, UTTAR PRADESH",591-2491879,wajidnco@hotmail.com,ABDUL WAJID,"BRASSWARE,EPNS WARE,"
282,ABEXO EXPORTS,"581, PHASE-V, UDYOG VIHAR,
GURGAON, HARYANA","124-2397646,124-2346718-19",abexo@abexoexports.com,RADHE MEHINDRO,"ACCESSORIES FOR CURTAINS,HANDICRAFTS,"
283,ABHAY & ABHI EXPORTS,"11/27-A, SANJAY COLONY, NUNIHAI MANDI, TAJGANJ
AGRA, UTTAR PRADESH",,abhayexportagra@gmail.com,GEETA SHARMA,"ANTIQUE REPRODUCTIONS,HANDICRAFTS,"
284,ABHAY INTERNATIONAL,"D-10, UNITY BUILDING, J.C. ROAD,
BANGALORE, KARNATAKA",80-22233678,singiri@vsnl.com,S. V. SUCHINDRA,"SANDALWOOD ARTICLES,SANDALWOOD ARTICLES,SANDALWOOD ARTICLES,SANDALWOOD ARTICLES,SANDALWOOD ARTICLES,SANDALWOOD ARTICLES,SANDALWOOD ARTICLES,ROSEWOOD, BRONZES & INSENCE STICKS"
285,ABHAY OVERSEAS INC.,"A-42, 2ND FLOOR, OKHLA INDUSTRIAL AREA, PHASE-1,
NEW DELHI, DELHI",,abhayoverseasinc@gmail.com,ABHAY AGARWAL,"BAGS,HANDICRAFTS,LEATHER ACCESSORIES,PURSES,"
286,ABHI INTERNATIONAL,"I-18, LAJPAT NAGAR IST,
NEW DELHI, DELHI",,abhideepty@gmail.com,ABISHEK SADH,"SCARVES,SHAWLS,MADE-UPS, GARMENTS,"
287,ABHINAV CRAFT,"2, NEW COLONY, PANCH BATTI,
JAIPUR, RAJASTHAN",,abhinavcraft@gmail.com,MRS. ANILA CHHABRA,
288,ABHINAV ENTERPRISES,"2385, TOP FLOOR, TILAK STREET, PAHARGANJ
NEW DELHI, DELHI",11-41698597,bisht65@yahoo.com,NEELAM BISHT,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,"
289,ABHINAV EXPORTS,"E-37, HAUZ KHAS
NEW DELHI, DELHI","11-26566387,11-26524658,11-265627","abhinavpub@gmail.com,abhinavpublications@airt",ATEEV MALIK,"HANDMADE PAPER & PRODUCTS,LAMP SHADES,PICTURE FRAMES,"
290,ABHINAV EXPORTS,"153, JHOTWARA INDUSTRIAL AREA
JAIPUR, RAJASTHAN",141-2342334,abhinav@abhinavexpo.com,ABHINAV BISHNOI,"FURNITURE- WOODEN,GLASS-DECORATIVE,IRON ARTWARES,MARBLES - GLASS,FURNITURE- WOODEN,GLASS-DECORATIVE,IRON ARTWARES,MARBLES - GLASS,FURNITURE- WOODEN,GLASS-DECORATIVE,IRON ARTWARES,MARBLES - GLASS,FURNITURE- WOODEN,GLASS-DECORATIVE,IRON ARTWARES,MARBLES - GLASS,"
291,ABHINAV PUBLICATIONS,"F-18, SECTOR-8,
NOIDA, UTTAR PRADESH",120-4251852,abhinav@kryssnowflakes.com,ABHINAV MALIK,"HANDICRAFTS,HANDMADE PAPER & PRODUCTS,HANDICRAFTS,HANDMADE PAPER & PRODUCTS,HANDICRAFTS,HANDMADE PAPER & PRODUCTS,HANDICRAFTS,HANDMADE PAPER & PRODUCTS,"
292,ABHIS INTERNATIONAL,"PLOT NO. 88, SECTOR-58, HUDA INDUSTRIAL AREA,
FARIDABAD, HARYANA","129-2309268,129-2309269",abhisbags@gmail.com,ASHOK MALHOTRA,"EMBROIDERY CURTAIN,EMBROIDERY FURNISHING,PICTURE FRAMES,"
293,ABHISHEK ENTERPRISES,"G-322,CHRITRALA CIRCLE,EPIP SITAPURA INDUSTRIAL AREA
JAIPUR, RAJASTHAN",141-2770955,"abhishekfa@rediffmail.com,abhishekfa@gmail.co",ABHISHEK FATEHPURIA,"DURRIES,HANDICRAFTS,JEWELLERY-SILVER,"
294,ABHISHEK GEMS AND JEWELLERS,"BHAGWATI BHAWAN, HEEDA KI MARISHYAMPURI, GALTA ROAD,
JAIPUR, RAJASTHAN","141-2660693,141-2661705",info@vaibhavinternational.com,MRS. MAMTA DEVI CHAUDHARY,
295,ABHISHEK INTERNATIONAL,"STATION ROAD, BEHIND MAHARAJ HOTAL
MORADABAD, UTTAR PRADESH",591-2326596,abhishek.ag6167@gmail.com,ABHISHEK AGARWAL,"CANDLES,GLASSWARE,HANDICRAFTS,CANDLES,GLASSWARE,HANDICRAFTS,CANDLES,GLASSWARE,HANDICRAFTS,CANDLES,GLASSWARE,HANDICRAFTS,WAX"
296,ABHISHEK INTERNATIONAL,"SHOP NO.156,BHAGAT SINGH MARKET,
NEW DELHI, DELHI",11-23744054,navratan@nrsexports.com,ABHISHEK SAMDARIA,"BONE CHINA MUGS,JEWELLERY-REPRODUCTION ANTIQUE,WROUGHT IRON WARE,"
297,ABHIVYAKTI FASHIONS PVT. LTD.,"2090, SECTOR-3, HUDA,
ROHTAK, HARYANA",11-29993064,atulsangwan@hotmail.com,ATUL SANGWAN,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,"
298,ABIA ACCESSORIES,"N-14/17,DLF PHASE-II
GURGAON, HARYANA",124-4796607,shipping@abia.in,BALWANT KUMAR SINGH,
299,ABIA HOME,"N-14/17, DLF PHASE-II
GURGAON, HARYANA",124-4796607,shipping@abia.in,BALWANT KUMAR SINGH,
300,ABIA LIVING,"N-14/17, DLF PHASE-II
GURGAON, HARYANA",124-4796607,shipping@abia.in,BALWANT KUMAR SINGH,
301,ABID & SONS,"MAQBARA FIRST, ANDROONI PHATAK, BARI MASJID, DARGAH,
MORADABAD, UTTAR PRADESH",,abidsons98@gmail.com,MOHD. ANEES,"ALUMINIUM WARES,BRASSWARE,COPPERWARE,GLASSWARE,HANDICRAFTS,IRON CRAFTS,LEATHER GOODS,METALWARE,STAINLESS STEEL ARTICLES ,WOODCRAFTS,"
302,ABIDSONS,"112, LAJPAT NAGAR,
MORADABAD, UTTAR PRADESH","591-2490540,591-2493220","abidsonsindia@gmail.com,abidsons786@gmail.com",MOHD. SAJID,"BRASSWARE,COPPERWARE,EPNS WARE,HANDICRAFTS,WOODEN GIFTS,"
303,ABINS INTERNATIONAL,"ASALATPURA PULIYA KAUN WALI GALI,
MORADABAD, UTTAR PRADESH","591-2497517,591-2310690",haqenter@bsnl.in,NASEEM BANO,"ALUMINIUM WARES,BRASSWARE,EPNS WARE,HANDICRAFTS,INDIA ITEMS,IRON CRAFTS,"
304,ABIRA CREATIONS PVT LTD,"308, 3RD FLOOR, RAINBOW PLAZA, SHIVAR CHOUK, PIMPLE SAUDAGAR
PUNE, MAHARASHTRA",020-46780167,priyanka@abiracreations.com,PRIYANKA KHANDELWAL,"BAGS,BELTS & ACCESSORIES,HANDICRAFTS,HOME DECORATIVE,HOME FURNISHING,IMITATION JEWELLERY,JEWELLERY- FASHION,SEMI PRECIOUS STONE,BAGS,BELTS & ACCESSORIES,HANDICRAFTS,HOME DECORATIVE,HOME FURNISHING,IMITATION JEWELLERY,JEWELLERY- FASHION,SEMI PRECIOUS STONE,BAGS,BELTS & ACCESSORIES,HANDICRAFTS,HOME DECORATIVE,HOME FURNISHING,IMITATION JEWELLERY,JEWELLERY- FASHION,SEMI PRECIOUS STONE,FABRIC JEWELLERY"
305,ABIRAA ARTS,"423 A, 4TH FLOOR, ASHIANA TRADE CENTER ADITYAPUR TATANAGAR, SARAIKELA KHARSAWAN,
JAMSHEDPUR, JHARKHAND",657-2383048,abiraa.arts@gmail.com,SWETA SINGH,"BAGS (JUTE),COASTERS,CORPORATE GIFTS,HANDICRAFTS,TRIBAL ARTS WOODEN BOD,, DOKRA ITEMS, TRIBAL PAINTINGS, WOODEN WALL FRAMS JUTE FOLDERS, HANDICRAFTED STOLES, AND SAREE,"
306,ABLAZE LIFE,"41, GAUR GRACIOUS, KANTH ROAD,
MORADABAD, UTTAR PRADESH",,ablazelifembd@gmail.com,AMBUJ MAHESHWARI,"ALUMINIUM ARTWARES,BRASS ARTWARES,COPPER ARTWARES,IRON ARTWARES,STAINLESS STEEL ARTICLES ,WOODEN ARTWARES,ALUMINIUM ARTWARES,BRASS ARTWARES,COPPER ARTWARES,IRON ARTWARES,STAINLESS STEEL ARTICLES ,WOODEN ARTWARES,"
307,ABM COMPANY,"D-10, SECTOR-6, NOIDA
GAUTAM BUDH NAGAR, UTTAR PRADESH","11-26922711,11-41407711",ankit@ankibeads.com,PRASUN GUPTA,"HAIR ACCESSORIES,IMITATION JEWELLERY,GLASS BEADS"
308,ABR SHRINGAR LLP,"193/2904, TAGOR NAGAR 8B, NEAR SANDESH COLLEGE, VIKHROLI (E)
MUMBAI, MAHARASHTRA",022-25742262,"info@rrbindi.com,mohil.dedhia@gmail.com",BHARAT KHIMJI DEDHIA,"IMITATION JEWELLERY,KUMKUM BINDI, HAIR PIN,"
309,ABRAR HANDICRAFTS,"PULL KAMBOHAN
SAHARANPUR, UTTAR PRADESH",132-2640527,abrarhandicrafts@hotmail.com,MOHD. ABRAR,"HANDICRAFTS,IRON CRAFTS,"
310,ABS IMPEX,"D.NO. 2-1-48/A,POORNA MANSION, II FLOOR, PITHAPURAM ROAD, SRINAGAR KAKINADA
E.G. DISTT., ANDHRA PRADESH",884-2388299,impexabs@gmail.com,ANIL KUMAR CHODAY,"HANDICRAFTS,DRY BAG"
311,ABSOLUTE EXPORTS,"B-121, GALAXY APARTMENTS, OPP: POLICE HOSPITAL, CIVIL LINES
MORADABAD, UTTAR PRADESH",,arun@absolutexports.com,ANCHAL RAHEJA,"ALUMINIUM ARTWARES,BRASS ARTWARES,COPPER ARTWARES,GLASSWARE,IRON ARTWARES,LEATHER ACCESSORIES,STAINLESS STEEL ARTICLES ,WOODEN ARTWARES,"
312,ABSTRACT IDEAS INC.,"MUFTI BUILDING, KANTH DARWAZA
MORADABAD, UTTAR PRADESH",591-2470965,abstractideasinc@gmail.com,MOHAMMAD NIGARISH ADEEL,"ALUMINIUM ARTWARES,BRASS ARTWARES,COPPER ARTWARES,IRON ARTWARES,WOODEN ARTWARES,ALUMINIUM ARTWARES,BRASS ARTWARES,COPPER ARTWARES,IRON ARTWARES,WOODEN ARTWARES,ALUMINIUM ARTWARES,BRASS ARTWARES,COPPER ARTWARES,IRON ARTWARES,WOODEN ARTWARES,"
313,ABU-FAZAL EXPORTS,"VARDHMAN COLONY, CHILKANA ROAD, NEAR MANDI SAMITI
SAHARANPUR, UTTAR PRADESH",,abufazalexports@gmail.com,MOHD. ASIF AHMAD,"WOODCRAFTS,WOODCRAFTS,WOODCRAFTS,WOODCRAFTS,WOODCRAFTS,"
314,ABUZAR INTERNATIONAL ASSOCIATES,"AJMAL KHAN ROAD, NAJIBABAD,
BIJNOR, UTTAR PRADESH",,aianbd500@gmail.com,SADAKAT ALI SIDDIQUI,"ALUMINIUM WARES,BRASSWARE,HANDICRAFTS,IRON CRAFTS,IRON CRAFTS,"
315,ABYSSINIA IMPEX,"A-2, KANARA BUSINESS CENTRE, GHATKOPAR LINK ROAD, LAXMI NAGAR, BEHIND EVEREST GARDENS BLDG., GHATKOPAR [E],
MUMBAI, MAHARASHTRA","22-25001729,22-25001739","abyssinia@vsnl.net,ktdoshi@gmail.com",KALPESH T. DOSHI,"HANDICRAFTS,HANDICRAFTS,"
316,ACACIA FASHIONS PVT. LTD.,"13 D/1, ASALATPUR, 2ND FLOOR, OPP A-2, GURUDWARA JANAKPURI,
NEW DELHI, DELHI",11-25624771,rajeev@acacia-fashions.in,RAJEEV JOSHI,"HANDICRAFTS,JEWELLERY-FASHION,TEXTILE CRAFTS,"
317,ACACIOUS EXPORTS,"E-252, FIRST FLOOR, RAMESH NAGAR, DOUBLE STOREY,
NEW DELHI, DELHI",,"tarunc2006@yahoo.co.in,chadharavi41@gmail.com",TARUN CHADHA,"HANDICRAFTS,"
318,ACCESS MFGR & EXPORTS,"3, BOHRAN STREET,
FIROZABAD, UTTAR PRADESH","5612-234890,5612-245387",bkgoverseas@sancharnet.in,MR. DAMODAR SHASTRY,"BONE HANDICRAFTS,GLASSWARE,IRON CRAFTS,METALWARE,SANDALWOOD ARTICLES,WOODCRAFTS,"
319,ACCESSOIRES INDIA,"PLOT NO. 202, PH-VI, UDYOG VIHAR, SEC-37,
GURGAON, HARYANA",0124-4373438,rajeev@accessoiresindia.com,RAJEEV CHOUHAN,"BAGS (LEATHER),BELTS & ACCESSORIES,JEWELLERY,WALLETS GARMENTS, HAD GOODS, SHOES"
320,ACCESSORIES BY NUPUR,"G-42, NIZAMUDDIN WEST, 2ND FLOOR
NEW DELHI, DELHI",120-4127688,"nupur2473@yahoo.com,info@ananaya.com",NUPUR BATRA KUKREJA,"FASHION ACCESSORIES,HANDICRAFTS,"
321,ACCESSORIES PLUS,"KH.NO.294/3, D-66, GR.FLOOR, 60 FT ROAD, NEAR CORP.BANK, CHATTARPUR ENCLAVE
NEW DELHI, DELHI","11-26301297,11-26301298",accplus@airtelmail.in,RITA SHARMA,"HANDICRAFTS,"
322,ACCESSORIZE INDIA,"300, BAGH KARE KHAN, KISHAN GANJ,
NEW DELHI, DELHI",11-23697365,acesorize@vsnl.net,PRAVEEN KUMAR SACHDEV,"DECORATIVE OBJECTS,FASHION ACCESSORIES,"
323,ACCESSORY PLACE,"3192-93, PRATAP STREET DARYA GANJ
NEW DELHI, DELHI",11-41564129,aplace@rediffmail.com,AVINASH KOHLI,"HANDICRAFTS,JEWELLERY-COSTUME,LEATHER ACCESSORIES,"
324,ACCORD INC,"HOUSE NO-BSE WALI GALI JAWAHAR NAGAR,
MORADABAD, UTTAR PRADESH",591-2494474,accordincindia@gmail.com,RATHIN GOYAL,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,"
325,ACD EXPORTS,"DELHI ROAD, MAYA NAGAR, LAKRI FAZALPUR, NEAR RELIANCE PETROL PUMP,
MORADABAD, UTTAR PRADESH",,acdexports@gmail.com,JYOTSANA DHAWAN,"ALUMINIUM WARE,BRASSWARE,COPPERWARE,GLASSWARE,IRON CRAFTS,WOOD CRAFTS,ALUMINIUM WARE,BRASSWARE,COPPERWARE,GLASSWARE,IRON CRAFTS,WOOD CRAFTS,"
326,ACE CRAFTIQUE,"47, ROOP RAJAT, SAROVAR, OPP PREKSHA HOSPITAL, PAL ROAD
JODHPUR, RAJASTHAN","291-2714587,291-2747910",info@acecraftique.com,MANISH BHATI,"FURNITURE-DECORATIVE,HANDICRAFTS,IRON CRAFTS,WOODCRAFTS,"
327,ACE DECOR,"A-47, NIZAMUDDIN EAST
NEW DELHI, DELHI","11-24351275,11-24351285",info@acedecor.net,MR. AMAN SHARMA,
328,ACE DECOR,"28- MAHIGRAN
ROORKEE, UTTARAKHAND",0133-263057,b_worldwide@live.com,UMAIR,"HANDICRAFTS,HANDICRAFTS,"
329,ACE STAR TRADING CO. PVT. LTD,"1898/18, GROUND FLOOR GOVINDPURI EXTN.
NEW DELHI, DELHI",11-26024182,"sohail.acestar@gmail.com,imam.acestar@gmail.c",AASIM ALI NADVI,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,BAGS"
330,ACHAL AMIT & COMPANY,"105, NEHRU NAGAR
AGRA, UTTAR PRADESH","562-2640415,562-3282092,562-2851025",agra@achalamit.in,AMIT AGARWAL,"SCARVES,SHAWLS-EMBROIDERED,STOLES,SCARVES,SHAWLS-EMBROIDERED,STOLES,SCARVES,SHAWLS-EMBROIDERED,STOLES,SCARVES,SHAWLS-EMBROIDERED,STOLES,SCARVES,SHAWLS-EMBROIDERED,STOLES,"
331,ACHARYA EXPORTS,"ROOM NO. 32, SANGEET SAGAR LAXMINARAYAN LANE, MATUNGA
MUMBAI, MAHARASHTRA",22-24014160,acharyas@vsnl.com,K.RAGHAVENDRA ACHARYA,"HANDICRAFTS,"
332,ACKY 15 DESIGNS,"G-62, SPAZE PRIVY APARTMENTS, SECTOR-72, SOHNA ROAD,
GURGAON, HARYANA",0124-4993169,ackysharma@gmail.com,AKANKSHA SHARMA,"BLOCK PRINTING,CARDS & GREETINGS,CUSHION & PILLOW COVERS,DECORATION FABRICS-PLAIN DYED/PRINTED,EMBROIDERY ,GIFTS WRAP & PACKAGING,HAND EMBROIDERED GARMENTS,HOME TEXTILES,TABLE LINEN,"
333,ACME ARTS,"E346, M.I.A., BASNI IIND PHASE
JODHPUR, RAJASTHAN",291-2747673,acmeart2003@gmail.com,ANIL KOTHARI,"FURNITURE-WOODEN,HANDICRAFTS,FURNITURE-WOODEN,HANDICRAFTS,FURNITURE-WOODEN,HANDICRAFTS,FURNITURE-WOODEN,HANDICRAFTS,FURNITURE-WOODEN,HANDICRAFTS,"
334,ACME EXPORTS,"REHMAT NAGAR, GALI NO. 2 SAMBHAL ROAD,
MORADABAD, UTTAR PRADESH",,acmembd@gmail.com,FAIZAN IDRIS,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,ART WARE"
335,ACME HANDICRAFTS PVT LTD,"18, DEV NAGAR, PAL LINK ROAD,
JODHPUR, RAJASTHAN",291-2636245,handicraftsacme@gmail.com,MAHENDRA PITTI,"ANTIQUE FURNITURE,BEDROOM FURNITURE,CHILDREN\'S FURNITURE,DINING ROOM FURNITURE,FURNITURE,FURNITURE- INDUSTRIAL, CONTEMPORARY, OLD TRADITIONAL,FURNITURE-WOODEN,FURNITURE-WOODEN,HOTEL & RESTAURANT FURNITURES,LIVING ROOM FURNITURE,"
336,ACN EQUIPMENTS,"ACN HOUSE, 3A, NEW VISHWAS NAGAR, 18TH QUARTER CHOWK, SHAHDARA
DELHI, DELHI",11-32964626,acnequipments@hotmail.com,RIYASAT ALI CHOUDHARY,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,"
337,ACN EXPORTS,"G-25, IIND PHASE, BORANADA INDUSTRIAL AREA,
JODHPUR, RAJASTHAN",2931-281295,info@acnexports.com,NAMAN BAID,"GIFTWARE,GLASSWARE,WOODCRAFTS,GIFTWARE,GLASSWARE,WOODCRAFTS,GIFTWARE,GLASSWARE,WOODCRAFTS,GIFTWARE,GLASSWARE,WOODCRAFTS,GIFTWARE,GLASSWARE,WOODCRAFTS,GIFTWARE,GLASSWARE,WOODCRAFTS,GIFTWARE,GLASSWARE,WOODCRAFTS,"
338,ACP INDUSTRIES LTD,"D.NO. 22B-8-6, SANKAR TOWERS CHADALVADA VARI STREET, POWERPET,
ELURU, ANDHRA PRADESH","8812-230216,8812-230479",ambica.a@rediffmail.com,ALAPATI VAZRA AMBIKA PRASAD,
339,ACQUISITIONS,"2/526, RAILWAY ROAD, OPP. NATRAJ HOTEL,
SAHARANPUR, UTTAR PRADESH",132-2646098,manoj.acq@gmail.com,MOHINI SINGH,"BEDS,CHAIRS,FURNITURE,HANDICRAFTS,MIRROR FRAMES,PARTITIONS,WOODEN TABELS, CONSOLES, PEG TABELS, JHAROKHAS, CARVED HANDICRAFTS,"
340,ACTION SECURITY DEVICES,"D-34, INDUSTRIAL ESTATE
ALIGARH, UTTAR PRADESH",571-2406578,actionsecurity@hotmail.com,DINESH CHANDRA VARSHNEY,"ALUMINIUM WARES,BRASSWARE,HANDICRAFTS,IRON CRAFTS,"
341,ACUBE KRAFT CONCEPTS PRIVATE LIMITED,"HOUSE NO.2/5/189, OLD RAMPUR ROAD,
MORADABAD, UTTAR PRADESH",,sez@acubekraft.com,PRAMOD KUMAR GUPTA,"ALUMINIUM ARTWARES,BRASS ARTWARES,COPPER ARTWARES,IRON ARTWARES,WOODEN ARTWARES,ALUMINIUM ARTWARES,BRASS ARTWARES,COPPER ARTWARES,IRON ARTWARES,WOODEN ARTWARES,ALUMINIUM ARTWARES,BRASS ARTWARES,COPPER ARTWARES,IRON ARTWARES,WOODEN ARTWARES,"
342,ACUBE KRAFT PVT. LTD.,"2/5/189, OLD RAMPUR ROAD,
MORADABAD, UTTAR PRADESH","591-6450646,591-2492873",accounts@acubekraft.com,PRAMOD KUMAR GUPTA,"HANDICRAFTS,"
343,ACUS IMPEX PVT LTD,"53A/3, RAMA ROAD, NAJAFGARH ROAD INDL. AREA,
DELHI, DELHI",11-41044301,kulbir@acusimpex.com,KULBIR SINGH,"HANDICRAFTS,"
344,ACUSHLA INTERNATIONAL,"185 B BLOCK GROUND FLOOR, MASOODPUR VILLAGE, VASANT KUNJ,
NEW DELHI, DELHI",11-26122245,info@acushlainternational.com,RAJEEV STANLEY JOSEPH,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,"
345,ADA,"73, HAZRAT GANJ,
LUCKNOW, UTTAR PRADESH","522-4077758,522-4005869,522-4002532",info@adachikan.net,VINOD KUMAR ARJUNDAS,"HANDICRAFTS,"
